Sample	lat	long	replicates	sites	controls	Datecode	Year	Month	Day	MMDD	Date	STATION_NA	Habitat_type	DO(mg-l)	SALINITY(psu)	TEMP(C)	BAYSIDE
T3S3_S1_L001	40.83791502	-72.53677203	T3S3	9	NA	20210622	2021	6	22	622	6/22/21	DUNE ROAD	OPEN WATER	6.8	30.5	22.1	WEST
T3S4_S1_L001	40.84862902	-72.54801502	T3S4	8	NA	20210622	2021	6	22	622	6/22/21	WEST TIANA	OPEN WATER	8.2	32.2	17.3	WEST
T3S5_S1_L001	40.84659498	-72.50059901	T3S5	4	NA	20210622	2021	6	22	622	6/22/21	PONQUOGUE BRIDGE	OPEN WATER	7.3	31.3	19.9	EAST
T3S6_S1_L001	40.850855	-72.488632	T3S6	3	NA	20210622	2021	6	22	622	6/22/21	INLET	OPEN WATER	8.1	31.7	16.7	EAST
T3S7_S1_L001	40.86263903	-72.49350901	T3S7	2	NA	20210622	2021	6	22	622	6/22/21	CORMORANT POINT	OPEN WATER	7.2	30.1	21.7	EAST
T3S8_S1_L001	40.88104301	-72.48041698	T3S8	1	NA	20210622	2021	6	22	622	6/22/21	SHINNECOCK HILLS	OPEN WATER	8.4	29.4	23.6	EAST
T3S9_S1_L001	40.86852003	-72.465114	T3S9	13	NA	20210622	2021	6	22	622	6/22/21	EAST MID BAY	OPEN WATER	7.6	32.4	17.9	EAST
T3S10_S1_L001	40.85579203	-72.45562004	T3S10	11	NA	20210622	2021	6	22	622	6/22/21	SOUTH GRASS	OPEN WATER	7.9	30.4	22.1	EAST
T3S11_S1_L001	40.87629701	-72.45737102	T3S11	7	NA	20210622	2021	6	22	622	6/22/21	LITTLE POND	OPEN WATER	7.6	29.7	22.7	EAST
T3Tiana_S1_L001	40.86009	-72.537887	T3Tiana	TI	NA	20210622	2021	6	22	622	6/22/21	TIANA CLAM	CLAM	NA	NA	NA	WEST
T3Wessuck_S1_L001	40.83866	-72.57004	T3Wessuck	WC	NA	20210622	2021	6	22	622	6/22/21	WESSUCK CLAM	CLAM	NA	NA	NA	WEST
T3Blank_S1_L001	NA	NA	T3Blank	NA	negative	20210622	2021	6	22	622	6/22/21	NA	NA	NA	NA	NA	NA
T5S1_S1_L001	40.83347403	-72.55252498	T5S1	12	NA	20210721	2021	7	21	721	7/21/21	PINE NECK	OPEN WATER	6.17	307	23.8	WEST
T5S2_S1_L001	40.83791502	-72.53677203	T5S2	10	NA	20210721	2021	7	21	721	7/21/21	WEST MID BAY	OPEN WATER	6.43	30.5	24	WEST
T5S3_S1_L001	40.82872904	-72.53193802	T5S3	9	NA	20210721	2021	7	21	721	7/21/21	DUNE ROAD	OPEN WATER	5.2	30.4	25.8	WEST
T5S4_S1_L001	40.84862902	-72.54801502	T5S4	8	NA	20210721	2021	7	21	721	7/21/21	WEST TIANA	OPEN WATER	9.08	31.7	21.3	WEST
T5S5_S1_L001	40.84659498	-72.50059901	T5S5	4	NA	20210721	2021	7	21	721	7/21/21	PONQUOGUE BRIDGE	OPEN WATER	7.41	31.3	23.2	EAST
T5S6_S1_L001	40.850855	-72.488632	T5S6	3	NA	20210721	2021	7	21	721	7/21/21	INLET	OPEN WATER	7.38	30.4	24.6	EAST
T5S7_S1_L001	40.86263903	-72.49350901	T5S7	2	NA	20210721	2021	7	21	721	7/21/21	CORMORANT POINT	OPEN WATER	8	30.7	23.7	EAST
T5S8_S1_L001	40.88104301	-72.48041698	T5S8	1	NA	20210721	2021	7	21	721	7/21/21	SHINNECOCK HILLS	OPEN WATER	7.05	29.1	26.4	EAST
T5S9_S1_L001	40.86852003	-72.465114	T5S9	13	NA	20210721	2021	7	21	721	7/21/21	EAST MID BAY	OPEN WATER	7.93	30.6	23.8	EAST
T5S10_S1_L001	40.85579203	-72.45562004	T5S10	11	NA	20210721	2021	7	21	721	7/21/21	SOUTH GRASS	OPEN WATER	7.75	30.2	26.1	EAST
T5S11_S2_L001	40.87629701	-72.45737102	T5S11	7	NA	20210721	2021	7	21	721	7/21/21	LITTLE POND	OPEN WATER	7.23	31.6	21.9	EAST
T5Tiana_S2_L001	40.86009	-72.537887	T5Tiana	TI	NA	20210721	2021	7	21	721	7/21/21	TIANA CLAM	CLAM	NA	NA	NA	WEST
T5Wessuck_S2_L001	40.83866	-72.57004	T5Wessuck	WC	NA	20210721	2021	7	21	721	7/21/21	WESSUCK CLAM	CLAM	NA	NA	NA	WEST
T7S1_S2_L001	40.83347403	-72.55252498	T7S1	12	NA	20210817	2021	8	17	817	8/17/21	PINE NECK	OPEN WATER	5.2	30.7	24.9	WEST
T7S2_S2_L001	40.82872904	-72.53193802	T7S2	10	NA	20210817	2021	8	17	817	8/17/21	WEST MID BAY	OPEN WATER	6.2	30.6	24.9	WEST
T7S3_S2_L001	40.83791502	-72.53677203	T7S3	9	NA	20210817	2021	8	17	817	8/17/21	DUNE ROAD	OPEN WATER	6.5	30.9	25.1	WEST
T7S4_S2_L001	40.84862902	-72.54801502	T7S4	8	NA	20210817	2021	8	17	817	8/17/21	WEST TIANA	OPEN WATER	7.8	31.6	24.4	WEST
T7S5_S2_L001	40.84659498	-72.50059901	T7S5	4	NA	20210817	2021	8	17	817	8/17/21	PONQUOGUE BRIDGE	OPEN WATER	7.4	31.8	23.7	EAST
T7S6_S2_L001	40.850855	-72.488632	T7S6	3	NA	20210817	2021	8	17	817	8/17/21	INLET	OPEN WATER	7.4	32.2	22.4	EAST
T7S7_S2_L001	40.86263903	-72.49350901	T7S7	2	NA	20210817	2021	8	17	817	8/17/21	CORMORANT POINT	OPEN WATER	8.2	30.7	25.5	EAST
T7S8_S2_L001	40.88104301	-72.48041698	T7S8	1	NA	20210817	2021	8	17	817	8/17/21	SHINNECOCK HILLS	OPEN WATER	7.7	30.1	26.3	EAST
T7S9_S2_L001	40.86852003	-72.465114	T7S9	13	NA	20210817	2021	8	17	817	8/17/21	EAST MID BAY	OPEN WATER	8.2	31.1	25.4	EAST
T7S10_S2_L001	40.85579203	-72.45562004	T7S10	11	NA	20210817	2021	8	17	817	8/17/21	SOUTH GRASS	OPEN WATER	8.1	32.1	23.1	EAST
T7S11_S2_L001	40.87629701	-72.45737102	T7S11	7	NA	20210817	2021	8	17	817	8/17/21	LITTLE POND	OPEN WATER	8.3	30.3	26.1	EAST
T7Tiana_S2_L001	40.86009	-72.537887	T7Tiana	TI	NA	20210817	2021	8	17	817	8/17/21	TIANA CLAM	CLAM	NA	NA	NA	WEST
T7Wessuck_S2_L001	40.83866	-72.57004	T7Wessuck	WC	NA	20210817	2021	8	17	817	8/17/21	WESSUCK CLAM	CLAM	NA	NA	NA	WEST
T7Blank_S2_L001	NA	NA	T7Blank	NA	negative	20210817	2021	8	17	817	8/17/21	NA	NA	NA	NA	NA	NA
T9S1_S2_L001	40.83347403	-72.55252498	T9S1	12	NA	20210914	2021	9	14	914	9/14/21	PINE NECK	OPEN WATER	6.15	30.2	22.6	WEST
T9S2_S2_L001	40.83791502	-72.53677203	T9S2	10	NA	20210914	2021	9	14	914	9/14/21	WEST MID BAY	OPEN WATER	6.73	30.6	22.5	WEST
T9S3_S2_L001	40.82872904	-72.53193802	T9S3	9	NA	20210914	2021	9	14	914	9/14/21	DUNE ROAD	OPEN WATER	6.42	30.4	23.3	WEST
T9S4_S2_L001	40.84862902	-72.54801502	T9S4	8	NA	20210914	2021	9	14	914	9/14/21	WEST TIANA	OPEN WATER	7.21	31.4	22.3	WEST
T9S5_S2_L001	40.84659498	-72.50059901	T9S5	4	NA	20210914	2021	9	14	914	9/14/21	PONQUOGUE BRIDGE	OPEN WATER	7.55	31.7	22.2	EAST
T9S6_S2_L001	40.850855	-72.488632	T9S6	3	NA	20210914	2021	9	14	914	9/14/21	INLET	OPEN WATER	6.12	33.5	20.3	EAST
T9S7_S2_L001	40.86263903	-72.49350901	T9S7	2	NA	20210914	2021	9	14	914	9/14/21	CORMORANT POINT	OPEN WATER	7.81	30.7	22.9	EAST
T9S8_S2_L001	40.88104301	-72.48041698	T9S8	1	NA	20210914	2021	9	14	914	9/14/21	SHINNECOCK HILLS	OPEN WATER	9.41	29.5	24.1	EAST
T9S9_S2_L001	40.86852003	-72.465114	T9S9	13	NA	20210914	2021	9	14	914	9/14/21	EAST MID BAY	OPEN WATER	6.72	32.2	22	EAST
T9S10_S2_L001	40.85579203	-72.45562004	T9S10	11	NA	20210914	2021	9	14	914	9/14/21	SOUTH GRASS	OPEN WATER	6.9	33.1	20.8	EAST
T9S11_S2_L001	40.87629701	-72.45737102	T9S11	7	NA	20210914	2021	9	14	914	9/14/21	LITTLE POND	OPEN WATER	8.47	31.3	22.8	EAST
T9Tiana_S2_L001	40.86009	-72.537887	T9Tiana	TI	NA	20210914	2021	9	14	914	9/14/21	TIANA CLAM	CLAM	NA	NA	NA	WEST
T9Wessuck_S2_L001	40.83866	-72.57004	T9Wessuck	WC	NA	20210914	2021	9	14	914	9/14/21	WESSUCK CLAM	CLAM	NA	NA	NA	WEST
T9Blank_S2_L001	NA	NA	T9Blank	NA	negative	20210914	2021	9	14	914	9/14/21	NA	NA	NA	NA	NA	NA
T10S1_S2_L001	40.83347403	-72.55252498	T10S1	12	NA	20211012	2021	10	12	1012	10/12/21	PINE NECK	OPEN WATER	6.75	27.8	18.5	WEST
T10S2_S2_L001	40.83791502	-72.53677203	T10S2	10	NA	20211012	2021	10	12	1012	10/12/21	WEST MID BAY	OPEN WATER	7	28	18.7	WEST
T10S3_S2_L001	40.82872904	-72.53193802	T10S3	9	NA	20211012	2021	10	12	1012	10/12/21	DUNE ROAD	OPEN WATER	7.36	28.3	18.6	WEST
T10S4_S2_L001	40.84862902	-72.54801502	T10S4	8	NA	20211012	2021	10	12	1012	10/12/21	WEST TIANA	OPEN WATER	7.75	28.1	18.9	WEST
T10S5_S2_L001	40.84659498	-72.50059901	T10S5	4	NA	20211012	2021	10	12	1012	10/12/21	PONQUOGUE BRIDGE	OPEN WATER	8.23	28.5	19.5	EAST
T10S6_S2_L001	40.850855	-72.488632	T10S6	3	NA	20211012	2021	10	12	1012	10/12/21	INLET	OPEN WATER	7.81	28.1	19.5	EAST
T10S7_S2_L001	40.86263903	-72.49350901	T10S7	2	NA	20211012	2021	10	12	1012	10/12/21	CORMORANT POINT	OPEN WATER	8.25	27.3	19.3	EAST
T10S8_S2_L001	40.88104301	-72.48041698	T10S8	1	NA	20211012	2021	10	12	1012	10/12/21	SHINNECOCK HILLS	OPEN WATER	8.3	26.5	19.8	EAST
T10S9_S2_L001	40.86852003	-72.465114	T10S9	13	NA	20211012	2021	10	12	1012	10/12/21	EAST MID BAY	OPEN WATER	7.78	27.4	19.5	EAST
T10S10_S2_L001	40.85579203	-72.45562004	T10S10	11	NA	20211012	2021	10	12	1012	10/12/21	SOUTH GRASS	OPEN WATER	8.56	28	19.7	EAST
T10S11_S2_L001	40.87629701	-72.45737102	T10S11	7	NA	20211012	2021	10	12	1012	10/12/21	LITTLE POND	OPEN WATER	7.91	27.6	19.8	EAST
T10Tiana_S2_L001	40.86009	-72.537887	T10Tiana	TI	NA	20211012	2021	10	12	1012	10/12/21	TIANA CLAM	CLAM	NA	NA	NA	WEST
T10Wessuck_S2_L001	40.83866	-72.57004	T10Wessuck	WC	NA	20211012	2021	10	12	1012	10/12/21	WESSUCK CLAM	CLAM	NA	NA	NA	WEST
